27.25,27.25,27.375,27.25,27.375,27.25,27.25,27.25,27.125,27,27,27.125,27.25,27.25,27.25,27.5,27.625,27.75,28,28.125,28,28.125,28.625,28.75,29,28.875,28.875,28.75,28.625,28.375,28.25,28,27.875,27.625,27.25,27.25,27.125,27,26.875,26.75,26.75,26.75,26.625,26.5,26.5,26.625,26.625,26.625,26.75,26.75
22.625,22.5,22.5,22.5,22.75,22.75,22.75,22.75,22.625,22.75,22.75,22.75,22.875,23.25,23.5,23.75,24.125,24.25,24.625,25.125,25.5,25.875,26.5,26.625,26.75,26.5,26,25.75,25.25,24.875,24.625,24.25,23.875,23.75,23.375,23.25,23,22.875,23,22.75,22.625,22.625,22.75,22.75,22.75,22.75,22.875,23,23.25,23.375
19.25,19.125,19,19,19,19.125,19,19.125,19.25,19.375,19.5,19.625,19.875,20,19.875,20.25,20.375,20.5,20.625,21.125,21.25,22,22.375,22.5,22.75,22.875,23,23,22.75,22.5,22.375,22,21.75,21.5,21.25,21,20.875,20.875,20.625,20.625,20.625,20.625,20.375,20.5,20.5,20.625,20.625,20.625,20.875,21.25
15.625,15.5,15.625,15.5,15.375,15.375,15.375,15.25,15.375,15.5,15.625,15.75,15.75,16,16.25,16.5,16.75,16.875,17.125,17.375,17.5,17.875,18.25,18.5,18.875,19.25,19.5,19.5,19.625,19.75,19.75,19.75,19.5,19.5,19.375,19,18.875,18.75,18.625,18.375,18.375,18.25,18.25,18.125,18.125,18,17.875,18,18.125,18.375
14.125,14.25,14.125,14,13.875,14,14,13.875,14,14.125,14.125,14,14,14.125,14.5,14.5,14.625,14.875,15,15.25,15.5,16,16.375,16.5,16.625,17,17.25,17.5,17.625,17.75,17.875,17.75,17.875,17.875,17.375,17.375,17.125,17,16.75,16.625,16.5,16.5,16.25,16.125,16.125,15.875,15.875,16,16.25,16.375
12.625,12.625,12.75,12.625,12.75,12.75,12.875,12.625,12.75,12.875,12.875,12.875,12.875,13,13,13.25,13.5,13.75,13.75,14,13.875,13.75,14.125,14.625,14.875,15.125,15.375,15.5,15.375,15.5,15.5,15.75,15.75,15.75,15.5,15.375,15.25,15.125,14.875,14.75,14.75,14.625,14.25,14.125,14,13.875,13.875,13.875,14.125,14.375
10.75,11,11,11.125,11.25,11.375,11.25,11.5,11.5,11.375,11.5,11.375,11.5,11.625,11.625,11.875,12.25,12.375,12.375,12.75,12.75,12.75,12.875,13,13.125,13,13.125,13.375,13.25,13.125,13.25,13,13,13,13,12.875,12.5,12.25,12.375,12.25,12.25,12.25,12.25,12.125,12,11.875,11.875,12.125,12.375,12.75
9.125,9.125,9,9,8.875,9.125,9.25,9.125,9.375,9.25,9.5,9.625,9.5,9.75,9.375,9.625,9.625,9.625,9.5,9.875,10.125,10.5,10.625,10.625,10.875,11,11.125,11.125,11.375,11.375,11.25,11.25,11.375,11.5,11.5,11.375,11,11.125,11,10.875,11.25,11.125,10.875,10.75,10.625,10.625,10.5,10.875,11.25,12
7,7.125,7,7,7,7.125,7,6.875,7.125,7.125,7.25,7.25,7.125,7.375,7.375,7.625,7.75,7.75,7.75,8,8.125,8.375,8.75,9,9.125,9.375,9.625,9.625,9.75,9.875,10,10,10.125,10.125,10.25,10.375,10.25,10.25,10,10,10,9.75,9.875,9.875,9.5,9.375,9.375,9.375,9.5,10
5.5,5.625,5.5,5.5,5.5,5.375,5.5,5.375,5.75,5.75,5.625,5.375,5.5,5.5,5.625,5.625,5.875,5.875,5.875,5.875,6,6.375,7,7,7.125,7.125,7.25,7.625,7.75,7.75,7.875,8,8,7.875,8,8.125,8.125,8,7.625,7.75,7.625,7.5,7.375,7.25,7.125,7,7,7.25,7.625,8.25
